Модель,Серия,Год,Объем двигателя (л),Топливо,Привод,Мощность (л.с.),Пробег (км),КПП,Цена (₽),Ссылка
"BMW X5 3.0 AT, 2021, 38 000 км",X5,2021,3.0,бензин,полный,340,38000,,8200000,https://www.avito.ru/groznyy/avtomobili/bmw_x5_3.0_at_2021_38_000_km_4630869189?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW 3 серия GT 2.0 AT, 2014, 115 480 км",3-Series,2014,2.0,бензин,задний,184,115480,,1949999,https://www.avito.ru/kaliningrad/avtomobili/bmw_3_seriya_gt_2.0_at_2014_115_480_km_4511156164?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW X3 2.0 AT, 2010, 178 000 км",X3,2010,2.0,дизель,полный,177,178000,,1250000,https://www.avito.ru/noginsk/avtomobili/bmw_x3_2.0_at_2010_178_000_km_7231786624?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW 1 серия 3.0 AT, 2019, 82 000 км",1-Series,2019,3.0,бензин,полный,340,82000,,4000000,https://www.avito.ru/moskva/avtomobili/bmw_1_seriya_3.0_at_2019_82_000_km_4154205388?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW Z4 2.0 AT, 2021, 63 000 км",Z4,2021,2.0,бензин,задний,258,63000,,4450000,https://www.avito.ru/moskva/avtomobili/bmw_z4_2.0_at_2021_63_000_km_7247468206?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW X3 3.0 AT, 2020, 104 000 км",X3,2020,3.0,дизель,полный,249,104000,,4150000,https://www.avito.ru/balashiha/avtomobili/bmw_x3_3.0_at_2020_104_000_km_4470278984?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW X7 3.0 AT, 2020, 53 000 км",X7,2020,3.0,дизель,полный,249,53000,,8600000,https://www.avito.ru/moskva/avtomobili/bmw_x7_3.0_at_2020_53_000_km_4485361934?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW 3 серия 2.0 AT, 2019, 85 000 км",3-Series,2019,2.0,бензин,задний,258,85000,,3340000,https://www.avito.ru/elets/avtomobili/bmw_3_seriya_2.0_at_2019_85_000_km_7237107026?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW 6 серия Gran Coupe 3.0 AT, 2012, 158 000 км",6-Series,2012,3.0,дизель,задний,313,158000,,3200000,https://www.avito.ru/moskva/avtomobili/bmw_6_seriya_gran_coupe_3.0_at_2012_158_000_km_4174899312?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW X5 3.0 AT, 2017, 73 150 км",X5,2017,3.0,дизель,полный,218,73150,,4000000,https://www.avito.ru/moskva/avtomobili/bmw_x5_3.0_at_2017_73_150_km_7203876239?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW 3 серия 1.6 AT, 2015, 220 000 км",3-Series,2015,1.6,бензин,задний,136,220000,,1495000,https://www.avito.ru/ekaterinburg/avtomobili/bmw_3_seriya_1.6_at_2015_220_000_km_7222703757?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW X1 2.0 AT, 2014, 205 500 км",X1,2014,2.0,дизель,полный,184,205500,,1590000,https://www.avito.ru/ufa/avtomobili/bmw_x1_2.0_at_2014_205_500_km_4971891182?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW 3 серия 2.0 AT, 2016, 180 000 км",3-Series,2016,2.0,дизель,полный,190,180000,,1940000,https://www.avito.ru/moskva/avtomobili/bmw_3_seriya_2.0_at_2016_180_000_km_4510788443?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW M4 3.0 AT, 2021, 21 100 км",M4,2021,3.0,бензин,задний,510,21100,,8500000,https://www.avito.ru/rostov-na-donu/avtomobili/bmw_m4_3.0_at_2021_21_100_km_5010147248?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
"BMW 3 серия 1.6 AT, 2013, 180 000 км",3-Series,2013,1.6,бензин,задний,136,180000,,1700000,https://www.avito.ru/samarskaya_oblast_krasnyy_yar/avtomobili/bmw_3_seriya_1.6_at_2013_180_000_km_4006532586?context=H4sIAAAAAAAA_wEmANn_YToxOntzOjE6IngiO3M6MTY6Ijk1bldhcWlwaVRZdGViMkUiO31VRm23JgAAAA
